,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Condo/Co-op,1901 S Victoria Ave #201,Oxnard,CA,93035.0,599000.0,1.0,2.0,VC32 - Oxnard - Port Hueneme Beaches,1697.0,,2008.0,4.0,353.0,734.0,Active,,,http://www.redfin.com/CA/Oxnard/1901-S-Victoria-Ave-93035/unit-201/home/21731139,VCRDS,V1-9186,N,Y,34.18229,-119.221664
1,MLS Listing,,Single Family Residential,2068 Morley St,Simi Valley,CA,93065.0,819000.0,4.0,2.5,SVC - Central Simi,1725.0,6100.0,1964.0,7.0,475.0,,Active,,,http://www.redfin.com/CA/Simi-Valley/2068-Morley-St-93065/home/4634440,CRMLS,BB21235200,N,Y,34.2655181,-118.7579472
2,MLS Listing,,Condo/Co-op,1230 S Westlake Blvd Unit E,Westlake Village,CA,91361.0,899000.0,3.0,2.5,WV - Westlake Village,1984.0,3920.0,1975.0,8.0,453.0,635.0,Active,,,http://www.redfin.com/CA/Westlake-Village/1230-S-Westlake-Blvd-91361/unit-E/home/4693694,CRMLS,BB21233077,N,Y,34.1478537,-118.8359432
3,MLS Listing,,Single Family Residential,2717 Fletcher St,Simi Valley,CA,93065.0,899000.0,5.0,3.0,SVC - Central Simi,2574.0,11900.0,1964.0,12.0,349.0,,Active,,,http://www.redfin.com/CA/Simi-Valley/2717-Fletcher-St-93065/home/4627703,CRMLS,BB21232266,N,Y,34.2568418,-118.7418698
4,MLS Listing,,Single Family Residential,756 Holbertson Ct,Simi Valley,CA,93065.0,1195000.0,5.0,3.0,SWR - Simi Wood Ranch,2577.0,7655.0,1991.0,14.0,464.0,113.0,Active,,,http://www.redfin.com/CA/Simi-Valley/756-Holbertson-Ct-93065/home/4598232,CRMLS,BB21230939,N,Y,34.234272,-118.8166529
5,MLS Listing,,Single Family Residential,16 Oak View Ct,Simi Valley,CA,93065.0,1549000.0,5.0,4.5,SWR - Simi Wood Ranch,4103.0,18502.0,2000.0,21.0,378.0,150.0,Active,,,http://www.redfin.com/CA/Simi-Valley/16-Oak-View-Ct-93065/home/4599397,CRMLS,BB21225882,N,Y,34.2277335,-118.7981566
6,MLS Listing,,Condo/Co-op,567 Mustang St,Camarillo,CA,93010.0,749000.0,4.0,3.5,VC41 - Camarillo Central,1898.0,1898.0,2018.0,22.0,395.0,200.0,Active,,,http://www.redfin.com/CA/Camarillo/567-Mustang-St-93010/home/144218802,CRMLS,BB21210542,N,Y,34.2221152,-119.0745742
7,MLS Listing,,Single Family Residential,5436 Indian Trail Ct,Westlake Village,CA,91362.0,1900000.0,5.0,4.5,WV - Westlake Village,4497.0,20567.0,1985.0,26.0,423.0,25.0,Active,,,http://www.redfin.com/CA/Westlake-Village/5436-Indian-Trail-Ct-91362/home/4683321,CRMLS,BB21222160,N,Y,34.1905971,-118.7946506
8,MLS Listing,,Single Family Residential,2173 Magnolia St,Simi Valley,CA,93065.0,599000.0,4.0,2.0,SVC - Central Simi,1008.0,6300.0,1961.0,27.0,594.0,,Active,,,http://www.redfin.com/CA/Simi-Valley/2173-Magnolia-St-93065/home/4639016,CRMLS,BB21220924,N,Y,34.2753337,-118.7467888
9,MLS Listing,,Single Family Residential,5868 Oak Fern Ct,Simi Valley,CA,93063.0,815000.0,4.0,2.5,SVC - Central Simi,2393.0,4383.0,2004.0,83.0,341.0,115.0,Active,,,http://www.redfin.com/CA/Simi-Valley/5868-Oak-Fern-Ct-93063/home/4355943,CRMLS,BB21177052,N,Y,34.2667347,-118.6769513
