,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
229,MLS Listing,,Single Family Residential,26193 Paseo Del Sur,MONTEREY,CA,93940.0,3400000.0,4.0,5.0,MONTEREY,6611.0,66647.0,1988.0,53.0,514.0,220.0,Active,,,http://www.redfin.com/CA/Monterey/26193-Paseo-Del-Sur-93940/home/14881402,MLSListings,ML81862064,N,Y,36.5486514,-121.764711
230,MLS Listing,,Single Family Residential,3292 Martin Rd,CARMEL,CA,93923.0,4500000.0,4.0,3.5,CARMEL,3900.0,43560.0,2020.0,54.0,1154.0,,Active,,,http://www.redfin.com/CA/Carmel-By-The-Sea/3292-Martin-Rd-93923/home/14937708,MLSListings,ML81861932,N,Y,36.5463914,-121.9152654
231,MLS Listing,,Single Family Residential,4059 Crest Rd,PEBBLE BEACH,CA,93953.0,1449000.0,3.0,2.0,PEBBLE BEACH,2069.0,17500.0,1973.0,54.0,700.0,,Active,,,http://www.redfin.com/CA/Pebble-Beach/4059-Crest-Rd-93953/home/14940216,MLSListings,ML81860968,N,Y,36.584892,-121.919475
232,MLS Listing,,Single Family Residential,50 Geil St,SALINAS,CA,93901.0,855000.0,4.0,2.5,SALINAS,2837.0,7400.0,1935.0,55.0,301.0,,Active,,,http://www.redfin.com/CA/Salinas/50-Geil-St-93901/home/14957253,MLSListings,ML81861819,N,Y,36.6662623,-121.6584553
233,MLS Listing,,Single Family Residential,96 Oak Way,CARMEL,CA,93923.0,1890000.0,3.0,2.0,CARMEL,1668.0,10019.0,1962.0,55.0,1133.0,,Active,,,http://www.redfin.com/CA/Carmel-By-The-Sea/96-Oak-Way-93923/home/14890144,MLSListings,ML81855438,N,Y,36.501245,-121.933921
234,MLS Listing,,Single Family Residential,1138 Divisadero St,PACIFIC GROVE,CA,93950.0,1249999.0,3.0,1.5,PACIFIC GROVE,1118.0,8800.0,1955.0,55.0,1118.0,,Active,,,http://www.redfin.com/CA/Pacific-Grove/1138-Devisadero-St-93950/home/14943582,MLSListings,ML81860760,N,Y,36.6075954,-121.9200884
235,MLS Listing,,Single Family Residential,15849 Pleasant Valley Ln,SALINAS,CA,93908.0,1335000.0,4.0,3.0,SALINAS,3567.0,310626.0,1984.0,56.0,374.0,260.0,Active,,,http://www.redfin.com/CA/Salinas/15849-Pleasant-Valley-Ln-93908/home/14881335,MLSListings,ML81861560,N,Y,36.549097,-121.698568
236,MLS Listing,,Multi-Family (2-4 Unit),501 Dela Vina Ave,MONTEREY,CA,93940.0,1199000.0,3.0,2.0,MONTEREY,1525.0,5663.0,1918.0,56.0,786.0,,Active,,,http://www.redfin.com/CA/Monterey/501-Dela-Vina-Ave-93940/home/14927437,MLSListings,ML81861553,N,Y,36.5976143,-121.8594411
237,MLS Listing,,Single Family Residential,1118 Pelican Rd,PEBBLE BEACH,CA,93953.0,2399000.0,3.0,3.0,PEBBLE BEACH,2876.0,10300.0,1949.0,57.0,834.0,,Active,,,http://www.redfin.com/CA/Pebble-Beach/1118-Pelican-Rd-93953/home/14941865,MLSListings,ML81861419,N,Y,36.5994115,-121.9395116
238,MLS Listing,,Single Family Residential,24300 San Juan Rd,CARMEL,CA,93923.0,3695000.0,3.0,3.5,CARMEL,3677.0,15800.0,2008.0,57.0,1005.0,,Active,,,http://www.redfin.com/CA/Carmel-By-The-Sea/24300-San-Juan-Rd-93923/home/14939335,MLSListings,ML81861404,N,Y,36.570268,-121.9163545
239,MLS Listing,,Condo/Co-op,115 Del Mesa Carmel,CARMEL,CA,93923.0,860000.0,2.0,2.0,CARMEL,1548.0,,1968.0,58.0,556.0,1733.0,Active,,,http://www.redfin.com/CA/Carmel-By-The-Sea/115-Del-Mesa-Carmel-93923/home/14925940,MLSListings,ML81861367,N,Y,36.543973,-121.873583
240,MLS Listing,,Single Family Residential,18447 Mcclellan Cir,EAST GARRISON,CA,93933.0,1195000.0,4.0,3.5,EAST GARRISON,2417.0,4554.0,2015.0,59.0,494.0,167.0,Active,November-4-2021 12:00 PM,November-4-2021 03:00 PM,http://www.redfin.com/CA/East-Garrison/18447-McClellan-Cir-93933/home/23072731,MLSListings,ML81851126,N,Y,36.6570176,-121.7423404
241,MLS Listing,,Single Family Residential,1232 Padre Ln,PEBBLE BEACH,CA,93953.0,22950000.0,7.0,6.5,PEBBLE BEACH,7929.0,87120.0,2005.0,60.0,2894.0,,Active,,,http://www.redfin.com/CA/Pebble-Beach/1232-Padre-Ln-93953/home/14939463,MLSListings,ML81861286,N,Y,36.571984,-121.967307
242,MLS Listing,,Single Family Residential,0 NEC Scenic & 12th,CARMEL,CA,93923.0,9800000.0,3.0,3.0,CARMEL,1950.0,3515.0,1985.0,60.0,5026.0,,Active,,,http://www.redfin.com/CA/CARMEL/SCENIC-RD-93923/home/14934781,MLSListings,ML81857246,N,Y,36.547674,-121.928082
243,MLS Listing,,Single Family Residential,25987 Mission St,CARMEL,CA,93923.0,2495000.0,2.0,2.0,CARMEL,1086.0,8000.0,1951.0,61.0,2297.0,,Active,November-4-2021 03:00 PM,November-4-2021 06:00 PM,http://www.redfin.com/CA/Carmel-By-The-Sea/25987-Mission-St-93923/home/14938186,MLSListings,ML81861056,N,Y,36.5463578,-121.9206662
244,MLS Listing,,Vacant Land,0 Oak St,MONTEREY,CA,93940.0,240000.0,,,MONTEREY,,5663.0,,61.0,,,Active,,,http://www.redfin.com/CA/MONTEREY/OAK-ST-93940/home/23078984,MLSListings,ML81860983,N,Y,36.612928,-121.909244
245,MLS Listing,,Single Family Residential,12 Voe Pl,DEL REY OAKS,CA,93940.0,979000.0,3.0,2.0,DEL REY OAKS,2034.0,7046.0,1954.0,61.0,481.0,,Active,,,http://www.redfin.com/CA/Del-Rey-Oaks/12-Voe-Pl-93940/home/14929967,MLSListings,ML81860973,N,Y,36.5967469,-121.8343321
246,MLS Listing,,Single Family Residential,395 Mendocino Dr,SALINAS,CA,93906.0,625000.0,3.0,2.0,SALINAS,1332.0,6534.0,1965.0,62.0,469.0,,Active,November-6-2021 01:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Salinas/395-Mendocino-Dr-93906/home/14886333,MLSListings,ML81860925,N,Y,36.7070031,-121.6405873
247,MLS Listing,,Other,19 Gorda Mountain Rd,BIG SUR,CA,93920.0,455000.0,,,BIG SUR,,108900.0,,63.0,,,Active,,,http://www.redfin.com/CA/Big-Sur/19-Gorda-Mtn-RD-93920/home/170036336,MLSListings,ML81860689,N,Y,36.0514956,-121.5141615
248,MLS Listing,,Single Family Residential,1985 Caterina Way,ROYAL OAKS,CA,95076.0,1149000.0,4.0,2.5,ROYAL OAKS,2149.0,108900.0,1991.0,64.0,535.0,135.0,Active,,,http://www.redfin.com/CA/Royal-Oaks/1985-Caterina-Way-95076/home/14881571,MLSListings,ML81860587,N,Y,36.8817872,-121.695029
249,MLS Listing,,Single Family Residential,30 Cuesta Vista Dr,MONTEREY,CA,93940.0,1938800.0,7.0,5.0,MONTEREY,3837.0,15197.0,1992.0,64.0,505.0,,Active,,,http://www.redfin.com/CA/Monterey/30-Cuesta-Vista-Dr-93940/home/14958898,MLSListings,ML81856035,N,Y,36.5878432,-121.9127798
250,MLS Listing,,Single Family Residential,2831 Forest Hill Blvd,PACIFIC GROVE,CA,93950.0,1075000.0,3.0,1.5,PACIFIC GROVE,1078.0,6000.0,1957.0,67.0,997.0,,Active,,,http://www.redfin.com/CA/Pacific-Grove/2831-Forest-Hill-Blvd-93950/home/14940735,MLSListings,ML81860359,N,Y,36.605469,-121.9239111
251,MLS Listing,,Single Family Residential,23035 Guidotti Dr,SALINAS,CA,93908.0,1350000.0,5.0,3.0,SALINAS,3533.0,10476.0,1973.0,67.0,382.0,,Active,November-3-2021 12:00 PM,November-3-2021 02:00 PM,http://www.redfin.com/CA/Salinas/23035-Guidotti-Dr-93908/home/14896958,MLSListings,ML81860325,N,Y,36.5917667,-121.7112183
252,MLS Listing,,Single Family Residential,25836 Paseo Estribo,MONTEREY,CA,93940.0,3400000.0,5.0,5.0,MONTEREY,5719.0,163350.0,1993.0,67.0,595.0,220.0,Active,,,http://www.redfin.com/CA/Monterey/25836-Pso-Estribo-93940/home/14881416,MLSListings,ML81860312,N,Y,36.5560029,-121.76226
253,MLS Listing,,Vacant Land,54518 Bradley Lockwood,Bradley,CA,93426.0,260000.0,,,Bradley,,435600.0,,68.0,,,Active,,,http://www.redfin.com/CA/Bradley/54518-Bradley-Lockwood-Rd-93426/home/23091378,CRMLS,NS21188411,N,Y,35.8907997,-120.9988052
