,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Single Family Residential,25205 Oak St,Lomita,CA,90717.0,999000.0,4.0,2.5,121 - Lomita,2182.0,5682.0,1980.0,1.0,458.0,,Pre On-Market,November-6-2021 12:00 AM,November-6-2021 11:59 PM,http://www.redfin.com/CA/Lomita/25205-Oak-St-90717/home/7662907,CRMLS,OC21238572,N,Y,33.7957316,-118.3174738
1,MLS Listing,,Single Family Residential,203 E Camino Real,Monrovia,CA,91016.0,899000.0,4.0,2.0,639 - Monrovia,1514.0,9085.0,1948.0,1.0,594.0,,Active,November-6-2021 01:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Monrovia/203-E-Camino-Real-St-91016/home/7978108,CRMLS,PF21238553,N,Y,34.1220302,-118.0011853
2,MLS Listing,,Single Family Residential,5549 Onacrest Dr,Los Angeles,CA,90043.0,1549000.0,4.0,3.0,Park Hills Heights,2335.0,7091.0,1941.0,3.0,663.0,,Active,November-6-2021 01:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Windsor-Hills/5549-Onacrest-Dr-90043/home/6866496,TheMLS,21-100533,N,Y,33.9902366,-118.3553384
3,MLS Listing,,Single Family Residential,3209 W 71st St,Los Angeles,CA,90043.0,799000.0,4.0,1.5,Park Hills Heights,1567.0,4810.0,1929.0,4.0,510.0,,Active,November-6-2021 01:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Los-Angeles/3209-W-71st-St-90043/home/6417531,TheMLS,21-100511,N,Y,33.9758843,-118.3285244
4,MLS Listing,,Condo/Co-op,26378 W Plata Ln,Calabasas,CA,91302.0,689000.0,3.0,2.5,CLB - Calabasas,1595.0,889.0,1980.0,4.0,432.0,380.0,Active,,,http://www.redfin.com/CA/Calabasas/26378-W-Plata-Ln-91302/home/3337158,CRMLS,BB21237075,N,Y,34.1552427,-118.6979019
5,MLS Listing,,Single Family Residential,19330 Victory Blvd,Tarzana,CA,91335.0,725000.0,3.0,2.0,699 - Not Defined,1443.0,7006.0,1955.0,4.0,502.0,,Active,,,http://www.redfin.com/CA/Reseda/19330-Victory-Blvd-91335/home/3903157,CRISNet,SR21238533,N,Y,34.1862966,-118.5546852
6,MLS Listing,,Single Family Residential,20426 Lorne St,Winnetka,CA,91306.0,799000.0,3.0,2.0,WIN - Winnetka,1348.0,8775.0,1954.0,4.0,593.0,,Active,,,http://www.redfin.com/CA/Canoga-Park/20426-Lorne-St-91306/home/3679278,CRMLS,BB21235934,N,Y,34.2171287,-118.5784987
7,MLS Listing,,Condo/Co-op,3555 Keystone Ave #302,Los Angeles,CA,90034.0,805000.0,2.0,2.0,Palms - Mar Vista,1130.0,14962.0,1980.0,5.0,712.0,314.0,Active,,,http://www.redfin.com/CA/Los-Angeles/3555-Keystone-Ave-90034/unit-302/home/78044701,TheMLS,21-100201,N,Y,34.0239892,-118.4101946
8,MLS Listing,,Multi-Family (2-4 Unit),915 E 76th Pl,Los Angeles,CA,90001.0,724990.0,5.0,3.0,C37 - Metropolitan South,2175.0,5104.0,1924.0,5.0,333.0,,Active,,,http://www.redfin.com/CA/Los-Angeles/915-E-76th-Pl-90001/home/7285154,CRMLS,SB21237669,N,Y,33.9703669,-118.2581087
9,MLS Listing,,Condo/Co-op,4057 W 147th St #102,Lawndale,CA,90260.0,649000.0,3.0,3.0,112 - North Lawndale,1435.0,14951.0,1995.0,5.0,452.0,250.0,Pre On-Market,,,http://www.redfin.com/CA/Lawndale/4057-W-147th-St-90260/unit-102/home/6561607,CRMLS,OC21237962,N,Y,33.8985467,-118.3451904
