,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Condo/Co-op,208 N Lake Merced Hls Unit 1A,SAN FRANCISCO,CA,94132,798000.0,2.0,2.0,SAN FRANCISCO,1320.0,,1975.0,5.0,605.0,910.0,Active,,,http://www.redfin.com/CA/San-Francisco/208-N-Lake-Merced-Hls-94132/unit-1A/home/1744740,MLSListings,ML81868448,N,Y,37.7133825,-122.4832983
1,MLS Listing,,Single Family Residential,189 Warren Dr,San Francisco,CA,94131,2498000.0,5.0,4.0,San Francisco,2857.0,4896.0,1959.0,11.0,874.0,,Active,November-4-2021 04:30 PM,November-4-2021 06:30 PM,http://www.redfin.com/CA/San-Francisco/189-Warren-Dr-94131/home/676635,San Francisco MLS,421606493,N,Y,37.7535836,-122.4600593
2,MLS Listing,,Condo/Co-op,1940 Bush St,SAN FRANCISCO,CA,94115,1798000.0,4.0,2.0,SAN FRANCISCO,1900.0,,1900.0,12.0,946.0,267.0,Active,,,http://www.redfin.com/CA/San-Francisco/1940-Bush-St-94115/home/1296522,MLSListings,ML81867694,N,Y,37.787837,-122.42931
3,MLS Listing,,Single Family Residential,979 Teresita Blvd,San Francisco,CA,94127,1199000.0,3.0,3.0,San Francisco,,,1949.0,13.0,,,Active,,,http://www.redfin.com/CA/San-Francisco/979-Teresita-Blvd-94127/home/690538,San Francisco MLS,421603398,N,Y,37.7341598,-122.4482412
4,MLS Listing,,Single Family Residential,2183 16th Ave,San Francisco,CA,94116,1499000.0,3.0,2.0,San Francisco,1536.0,2996.0,1931.0,13.0,976.0,,Active,,,http://www.redfin.com/CA/San-Francisco/2183-16th-Ave-94116/home/1081532,San Francisco MLS,421603414,N,Y,37.7473356,-122.4729729
5,MLS Listing,,Single Family Residential,773 Minna St,SAN FRANCISCO,CA,94103,1888000.0,2.0,2.5,SAN FRANCISCO,2520.0,1600.0,1906.0,18.0,749.0,,Active,,,http://www.redfin.com/CA/San-Francisco/773-Minna-St-94103/home/28945815,MLSListings,ML81867047,N,Y,37.7760888,-122.4135468
6,MLS Listing,,Condo/Co-op,1190 Sacramento St #2,San Francisco,CA,94108,1595000.0,2.0,2.0,San Francisco,,1470.0,1955.0,19.0,,,Active,,,http://www.redfin.com/CA/San-Francisco/1190-Sacramento-St-94108/unit-002/home/12399940,San Francisco MLS,421604010,N,Y,37.7926896,-122.4125054
7,MLS Listing,,Condo/Co-op,201 Harrison St #501,SAN FRANCISCO,CA,94105,475000.0,0.0,1.0,SAN FRANCISCO,432.0,,1991.0,24.0,1100.0,658.0,Active,,,http://www.redfin.com/CA/San-Francisco/201-Harrison-St-94105/unit-501/home/1438671,MLSListings,ML81866194,N,Y,37.7874798,-122.3905769
8,MLS Listing,,Single Family Residential,669 Marina Blvd,San Francisco,CA,94123,8998000.0,5.0,5.0,San Francisco,4752.0,4944.0,1931.0,53.0,1894.0,,Active,,,http://www.redfin.com/CA/San-Francisco/669-Marina-Blvd-94123/home/582205,San Francisco MLS,421593475,N,Y,37.8052133,-122.4449164
9,MLS Listing,,Condo/Co-op,461 2nd St Unit C118,San Francisco,CA,94107,750000.0,1.0,1.0,San Francisco,672.0,56167.0,1907.0,56.0,1116.0,651.0,Active,,,http://www.redfin.com/CA/San-Francisco/461-2nd-St-94107/unit-C118/home/1203053,San Francisco MLS,421589274,N,Y,37.783797,-122.3937191
10,MLS Listing,,Condo/Co-op,2000 Ellis St #205,San Francisco,CA,94115,749000.0,1.0,1.0,San Francisco,595.0,8090.0,2013.0,71.0,1259.0,466.0,Active,,,http://www.redfin.com/CA/San-Francisco/2000-Ellis-St-94115/unit-205/home/55244549,San Francisco MLS,421587794,N,Y,37.7816364,-122.439602
