,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Single Family Residential,1191 Julia Cir,HOLLISTER,CA,95023,629000,3.0,2.5,HOLLISTER,1636.0,1530.0,2020.0,20.0,384.0,,Active,,,http://www.redfin.com/CA/HOLLISTER/1191-JULIA-CIR-95023/home/173508469,MLSListings,ML81866657,N,Y,36.852742,-121.416579
1,MLS Listing,,Single Family Residential,550 Gabriele Ct,HOLLISTER,CA,95023,809000,4.0,2.5,HOLLISTER,2114.0,3789.0,2020.0,1.0,383.0,,Active,November-6-2021 12:00 PM,November-6-2021 03:00 PM,http://www.redfin.com/CA/Hollister/550-Gabriele-Ct-95023/home/173508565,MLSListings,ML81867962,N,Y,36.85144,-121.4165
2,MLS Listing,,Single Family Residential,140 Sunrise Dr,HOLLISTER,CA,95023,960000,4.0,2.5,HOLLISTER,2548.0,40511.0,1982.0,1.0,377.0,,Active,,,http://www.redfin.com/CA/Hollister/140-Sunrise-Dr-95023/home/14974392,MLSListings,ML81863366,N,Y,36.8376114,-121.3669613
3,MLS Listing,,Single Family Residential,1057 Victoria Ave,HOLLISTER,CA,95023,575000,4.0,2.0,HOLLISTER,1600.0,4661.0,1922.0,1.0,359.0,,Active,,,http://www.redfin.com/CA/Hollister/1057-Victoria-Ave-95023/home/14971802,MLSListings,ML81868812,N,Y,36.8439881,-121.400815
4,MLS Listing,,Single Family Residential,2180 Glenview Dr,HOLLISTER,CA,95023,790000,4.0,3.0,HOLLISTER,1862.0,6294.0,1999.0,1.0,424.0,,Active,,,http://www.redfin.com/CA/Hollister/2180-Glenview-Dr-95023/home/14964083,MLSListings,ML81868765,N,Y,36.8283923,-121.3757606
5,MLS Listing,,Single Family Residential,1580 Castlerock Dr,HOLLISTER,CA,95023,795500,3.0,2.0,HOLLISTER,1789.0,6478.0,2019.0,2.0,445.0,,Active,,,http://www.redfin.com/CA/Hollister/1580-Castlerock-Dr-95023/home/169053251,MLSListings,ML81868727,N,Y,36.838292,-121.355389
6,MLS Listing,,Single Family Residential,665 Lanini Dr,HOLLISTER,CA,95023,869900,3.0,2.0,HOLLISTER,1957.0,11099.0,1985.0,3.0,445.0,90.0,Active,,,http://www.redfin.com/CA/Hollister/665-Lanini-Dr-95023/home/14970112,MLSListings,ML81866623,N,Y,36.8103178,-121.361467
7,MLS Listing,,Single Family Residential,342 Cowden Rd,HOLLISTER,CA,95023,1680000,4.0,4.0,HOLLISTER,4785.0,262231.0,1991.0,4.0,351.0,,Active,,,http://www.redfin.com/CA/Hollister/342-Cowden-Rd-95023/home/110033604,MLSListings,ML81868547,N,Y,36.809684,-121.390629
8,MLS Listing,,Single Family Residential,1291 Alder Ct,HOLLISTER,CA,95023,849000,4.0,2.5,HOLLISTER,1752.0,6508.0,1995.0,4.0,485.0,,Active,,,http://www.redfin.com/CA/Hollister/1291-Alder-Ct-95023/home/14966712,MLSListings,ML81866263,N,Y,36.8396127,-121.3681673
9,MLS Listing,,Single Family Residential,470 Thistle St,HOLLISTER,CA,95023,949888,4.0,3.0,HOLLISTER,2374.0,10625.0,2020.0,5.0,400.0,17.0,Active,November-6-2021 12:00 PM,November-6-2021 03:00 PM,http://www.redfin.com/CA/Hollister/470-Thistle-St-95023/home/169053546,MLSListings,ML81867124,N,Y,36.860328,-121.408735
