,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Townhouse,25 McAker Ct #102,SAN MATEO,CA,94403,1098000.0,3.0,2.5,SAN MATEO,1320.0,1.0,1993.0,4.0,832.0,435.0,Active,,,http://www.redfin.com/CA/San-Mateo/25-McAker-Ct-94403/unit-102/home/177005271,MLSListings,ML81868624,N,Y,37.5475768,-122.3101316
1,MLS Listing,,Townhouse,25 McAker Ct #112,SAN MATEO,CA,94403,1138000.0,3.0,2.5,SAN MATEO,1318.0,1.0,1993.0,4.0,863.0,435.0,Active,,,http://www.redfin.com/CA/San-Mateo/25-McAker-Ct-94403/unit-112/home/177004199,MLSListings,ML81868601,N,Y,37.5475768,-122.3101316
2,MLS Listing,,Condo/Co-op,1 San Bruno Ave Unit I,BRISBANE,CA,94005,828000.0,2.0,2.5,BRISBANE,1102.0,15023.0,2008.0,5.0,751.0,450.0,Active,November-6-2021 02:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Brisbane/1-San-Bruno-Ave-94005/unit-I/home/21967761,MLSListings,ML81868350,N,Y,37.6846092,-122.4017414
3,MLS Listing,,Single Family Residential,420 Southgate Ave,DALY CITY,CA,94015,1098000.0,2.0,1.5,DALY CITY,1260.0,3300.0,1954.0,11.0,871.0,,Active,,,http://www.redfin.com/CA/Daly-City/420-Southgate-Ave-94015/home/1779683,MLSListings,ML81867787,N,Y,37.697531,-122.4877863
4,MLS Listing,,Single Family Residential,2100 Lincoln St,EAST PALO ALTO,CA,94303,989000.0,2.0,2.0,EAST PALO ALTO,1180.0,4400.0,1947.0,14.0,838.0,,Active,,,http://www.redfin.com/CA/East-Palo-Alto/2100-Lincoln-St-94303/home/1016039,MLSListings,ML81867390,N,Y,37.4644813,-122.145931
5,MLS Listing,,Condo/Co-op,741 Pointe Pacific #9,DALY CITY,CA,94014,825000.0,2.0,2.0,DALY CITY,1158.0,,1986.0,39.0,712.0,640.0,Active,,,http://www.redfin.com/CA/Daly-City/741-Pointe-Pacific-Dr-94014/unit-4909/home/963901,MLSListings,ML81864120,N,Y,37.7001894,-122.4539815
6,MLS Listing,,Condo/Co-op,5201 Admiralty Ln,Foster City,CA,94404,738000.0,2.0,1.5,Admiralty,998.0,432988.0,1965.0,1.0,739.0,764.0,Active,,,http://www.redfin.com/CA/Foster-City/5201-Admiralty-Ln-94404/home/1922866,MetroList,421609163,N,Y,37.561437,-122.267213
7,MLS Listing,,Single Family Residential,220 Channing Rd,BURLINGAME,CA,94010,2650000.0,4.0,3.0,BURLINGAME,2130.0,5750.0,1929.0,1.0,1244.0,,Active,November-4-2021 05:00 PM,November-4-2021 07:00 PM,http://www.redfin.com/CA/Burlingame/220-Channing-Rd-94010/home/1210657,MLSListings,ML81868957,N,Y,37.5848074,-122.3365033
8,MLS Listing,,Townhouse,1716 Hampton Ln,Daly City,CA,94014,898000.0,2.0,2.5,Daly City,1177.0,839.0,1985.0,1.0,763.0,467.0,Active,November-6-2021 02:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Daly-City/1716-Hampton-Ln-94014/home/959462,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973043,N,Y,37.7025024,-122.4440279
9,MLS Listing,,Vacant Land,0 Alpine Rd,LA HONDA,CA,94020,299000.0,,,LA HONDA,,67082.0,,1.0,,,Active,,,http://www.redfin.com/CA/LA-HONDA/Unknown-94020/home/161184387,MLSListings,ML81868943,N,Y,37.292781,-122.236908
