,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Single Family Residential,3130 Parker Rd,Richmond,CA,94806,849900.0,4.0,3.0,Richmond,1940.0,12000.0,1961.0,1.0,438.0,,Active,,,http://www.redfin.com/CA/Richmond/3130-Parker-Rd-94806/home/1905971,BAREIS,321103348,N,Y,37.9705243,-122.3214472
1,MLS Listing,,Single Family Residential,3006 Florida Ave,Richmond,CA,94804,639995.0,5.0,3.0,Richmond,1800.0,3876.0,1950.0,1.0,356.0,,Active,November-7-2021 11:00 AM,November-7-2021 01:00 PM,http://www.redfin.com/CA/Richmond/3006-Florida-Ave-94804/home/1156323,BAREIS,321101049,N,Y,37.9293023,-122.3411083
2,MLS Listing,,Townhouse,165 Heron Dr,Pittsburg,CA,94565,549888.0,3.0,2.5,Marina Park,1608.0,2810.0,1990.0,4.0,342.0,254.0,Active,,,http://www.redfin.com/CA/Pittsburg/165-Heron-Dr-94565/home/639169,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40972752,N,Y,38.034038,-121.887188
3,MLS Listing,,Single Family Residential,1979 S Forest Hill Pl,Danville,CA,94526,1225000.0,4.0,2.0,Danville Ranch,1745.0,6630.0,1983.0,4.0,702.0,174.0,Active,,,http://www.redfin.com/CA/Danville/1979-S-Forest-Hill-Pl-94526/home/977782,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40972650,N,Y,37.7873628,-121.9822573
4,MLS Listing,,Single Family Residential,316 Pullman Ave,Bay Point,CA,94565,489000.0,3.0,2.0,Bay Point,895.0,8000.0,1947.0,4.0,546.0,,Active,,,http://www.redfin.com/CA/Bay-Point/316-Pullman-Ave-94565/home/1118809,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40972104,N,Y,38.0299368,-121.9376183
5,MLS Listing,,Condo/Co-op,1655 Northshore Dr,Richmond,CA,94804,689000.0,2.0,2.5,Richmond,1297.0,2500.0,2006.0,8.0,531.0,286.0,Active,,,http://www.redfin.com/CA/Richmond/1655-Northshore-Dr-94804/home/12124231,BAREIS,321101051,N,Y,37.9170435,-122.3534896
6,MLS Listing,,Townhouse,1975 Fair Ridge Ct,Walnut Creek,CA,94597,1175000.0,3.0,2.5,Walnut Creek,2727.0,1921.0,1978.0,8.0,,626.0,Active,,,http://www.redfin.com/CA/Walnut-Creek/1975-Fair-Ridge-Ct-94597/home/1868670,MetroList,221136803,N,Y,37.914774,-122.098511
7,MLS Listing,,Single Family Residential,3049 Laurence Ct,Concord,CA,94520,739000.0,4.0,2.0,Concord,1413.0,5520.0,1954.0,8.0,523.0,,Active,,,http://www.redfin.com/CA/Concord/3049-Laurence-Ct-94520/home/1135490,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40972183,N,Y,37.9930298,-122.0334234
8,MLS Listing,,Condo/Co-op,2200 Laguna Cir Unit C,Concord,CA,94520,325000.0,2.0,1.0,Taxco,884.0,,1970.0,11.0,368.0,425.0,Active,,,http://www.redfin.com/CA/Concord/2200-Laguna-Cir-94520/unit-C/home/589891,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40971944,N,Y,37.968174,-122.039647
9,MLS Listing,,Single Family Residential,1721 Beau Rivage,San Pablo,CA,94806,799000.0,3.0,3.0,San Pablo Prop,2300.0,4200.0,1958.0,12.0,347.0,,Active,,,http://www.redfin.com/CA/San-Pablo/1721-Beau-Rivage-94806/home/1115931,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40971826,N,Y,37.9575423,-122.3247686
