,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Townhouse,285 Esfahan Ct,SAN JOSE,CA,95111,899800.0,3.0,2.5,SAN JOSE,1724.0,1410.0,2011.0,1.0,522.0,260.0,Active,November-6-2021 01:30 PM,November-6-2021 03:30 PM,http://www.redfin.com/CA/San-Jose/285-Esfahan-Ct-95111/home/167457785,MLSListings,ML81868944,N,Y,37.2913193,-121.8560549
1,MLS Listing,,Single Family Residential,343 Walnut Ln,GILROY,CA,95020,699000.0,3.0,2.0,GILROY,1214.0,6600.0,1953.0,5.0,576.0,,Active,,,http://www.redfin.com/CA/Gilroy/343-Walnut-Ln-95020/home/706688,MLSListings,ML81868456,N,Y,37.0131494,-121.5663673
2,MLS Listing,,Single Family Residential,3501 Willett Pl,SANTA CLARA,CA,95051,1750000.0,4.0,4.0,SANTA CLARA,2004.0,2096.0,2005.0,11.0,873.0,68.0,Active,,,http://www.redfin.com/CA/Santa-Clara/3501-Willett-Pl-95051/home/1051622,MLSListings,ML81867519,N,Y,37.3513432,-121.9935852
3,MLS Listing,,Condo/Co-op,88 N Jackson Ave #428,SAN JOSE,CA,95116,719000.0,3.0,2.0,SAN JOSE,1200.0,,2006.0,13.0,599.0,461.0,Active,,,http://www.redfin.com/CA/San-Jose/88-N-Jackson-Ave-95116/unit-428/home/17290054,MLSListings,ML81867493,N,Y,37.3610275,-121.8457872
4,MLS Listing,,Townhouse,1548 Easington Way,SAN JOSE,CA,95126,989800.0,3.0,2.5,SAN JOSE,1470.0,1470.0,1977.0,14.0,673.0,412.0,Active,,,http://www.redfin.com/CA/San-Jose/1548-Easington-Way-95126/home/1305752,MLSListings,ML81867391,N,Y,37.3024761,-121.9211336
5,MLS Listing,,Single Family Residential,6430 Little Uvas Rd,MORGAN HILL,CA,95037,935000.0,2.0,2.0,MORGAN HILL,1172.0,109540.0,1967.0,18.0,798.0,,Active,,,http://www.redfin.com/CA/Morgan-Hill/6430-Little-Uvas-Rd-95037/home/1014463,MLSListings,ML81866922,N,Y,37.113634,-121.7748139
6,MLS Listing,,Condo/Co-op,255 Llano De Los Robles Ave #6,SAN JOSE,CA,95136,738000.0,1.0,1.5,SAN JOSE,816.0,,2020.0,19.0,904.0,631.0,Active,,,http://www.redfin.com/CA/San-Jose/255-Llano-de-los-Robles-Ave-95136/unit-6/home/172950143,MLSListings,ML81865921,N,Y,37.284998,-121.853158
7,MLS Listing,,Single Family Residential,1757 Miriam Ct,SAN JOSE,CA,95124,2198000.0,4.0,2.5,SAN JOSE,2670.0,8468.0,1978.0,19.0,823.0,,Active,,,http://www.redfin.com/CA/San-Jose/1757-Miriam-Ct-95124/home/786063,MLSListings,ML81865725,N,Y,37.2838024,-121.9137762
8,MLS Listing,,Townhouse,2095 Scott Blvd #2,SANTA CLARA,CA,95050,1089000.0,3.0,2.5,SANTA CLARA,1480.0,1250.0,2000.0,20.0,736.0,200.0,Active,,,http://www.redfin.com/CA/Santa-Clara/2095-Scott-Blvd-95050/unit-2/home/1321643,MLSListings,ML81865983,N,Y,37.360416,-121.959335
9,MLS Listing,,Condo/Co-op,175 Nexus Loop,SAN JOSE,CA,95110,999800.0,2.0,2.5,SAN JOSE,1301.0,,2019.0,22.0,768.0,254.0,Active,,,http://www.redfin.com/CA/San-Jose/175-Nexus-Loop-95110/home/172937881,MLSListings,ML81866371,N,Y,37.3402305,-121.8960789
