,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Single Family Residential,12 Sylvan Way,Woodacre,CA,94973,995000,3.0,3.0,Woodacre,2574.0,7261.0,1923.0,3.0,387.0,,Active,,,http://www.redfin.com/CA/Woodacre/12-Sylvan-Way-94973/home/22345948,BAREIS,321101797,N,Y,38.0081599,-122.644907
1,MLS Listing,,Single Family Residential,84 Laurie Dr,Novato,CA,94947,1235000,4.0,2.0,Novato,1809.0,12628.0,1965.0,12.0,683.0,,Active,,,http://www.redfin.com/CA/Novato/84-Laurie-Dr-94947/home/1354779,BAREIS,321100944,N,Y,38.1088384,-122.5994154
2,MLS Listing,,Single Family Residential,1 Dunand Ave,San Rafael,CA,94901,1369900,3.0,2.5,San Rafael,1732.0,4500.0,1994.0,18.0,791.0,,Active,,,http://www.redfin.com/CA/San-Rafael/1-Dunand-Ave-94901/home/773237,BAREIS,321099248,N,Y,37.9742462,-122.544102
3,MLS Listing,,Single Family Residential,216 Waterside Cir,San Rafael,CA,94903,1445000,4.0,3.0,San Rafael,2745.0,5114.0,1997.0,61.0,526.0,321.0,Active,November-7-2021 01:00 PM,November-7-2021 03:00 PM,http://www.redfin.com/CA/San-Rafael/216-Waterside-Cir-94903/home/715870,BAREIS,321083014,N,Y,38.0082389,-122.5266447
4,MLS Listing,,Condo/Co-op,12 Royal Ct,San Rafael,CA,94901,648000,2.0,2.0,San Rafael,986.0,2720.0,1964.0,1.0,657.0,365.0,Active,November-6-2021 01:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/San-Rafael/12-Royal-Ct-94901/home/549409,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973048,N,Y,37.969371,-122.5029166
5,MLS Listing,,Single Family Residential,3 Sequoia Rd,San Rafael,CA,94903,959000,3.0,2.5,San Rafael,1758.0,2919.0,2004.0,1.0,546.0,115.0,Active,November-7-2021 01:00 PM,November-7-2021 04:00 PM,http://www.redfin.com/CA/San-Rafael/3-Sequoia-Rd-94903/home/1265729,BAREIS,321102270,N,Y,37.9932237,-122.5356382
6,MLS Listing,,Single Family Residential,286 Miller Ave,Mill Valley,CA,94941,1138000,3.0,2.0,Mill Valley,978.0,5785.0,1929.0,1.0,1164.0,,Active,November-7-2021 01:00 PM,November-7-2021 04:00 PM,http://www.redfin.com/CA/Mill-Valley/286-Miller-Ave-94941/home/168644033,BAREIS,321102300,N,Y,37.8996582,-122.5399037
7,MLS Listing,,Condo/Co-op,510 Entrada Dr #204,Novato,CA,94949,448865,2.0,1.0,Novato,1095.0,1093.0,2004.0,1.0,410.0,434.0,Active,November-7-2021 02:00 PM,November-7-2021 04:00 PM,http://www.redfin.com/CA/Novato/510-Entrada-Dr-94949/unit-204/home/1127396,BAREIS,321104284,N,Y,38.069131,-122.5422037
8,MLS Listing,,Single Family Residential,9 Laurel Ln,Sausalito,CA,94965,3995000,4.0,4.5,Sausalito,3281.0,34351.0,1983.0,1.0,1218.0,,Active,,,http://www.redfin.com/CA/Sausalito/9-Laurel-Ln-94965/home/1121325,BAREIS,321104262,N,Y,37.8588548,-122.4954795
9,MLS Listing,,Single Family Residential,12 Fairview Ave,Corte Madera,CA,94925,2390000,3.0,2.5,Corte Madera,2000.0,10000.0,1979.0,1.0,1195.0,,Active,,,http://www.redfin.com/CA/Corte-Madera/12-Fairview-Ave-94925/home/1087975,BAREIS,321103417,N,Y,37.9201637,-122.5204124
