,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Condo/Co-op,2667 W Cameron Ct #216,Anaheim,CA,92801.0,540000.0,3.0,2.0,79 - Anaheim West of Harbor,1357.0,,1981.0,1.0,398.0,298.0,Pre On-Market,,,http://www.redfin.com/CA/Anaheim/2667-W-Cameron-Ct-92801/unit-216/home/5632046,CRMLS,OC21240528,N,Y,33.8387961,-117.977668
1,MLS Listing,,Single Family Residential,145 W Avenida Cadiz,San Clemente,CA,92672.0,3500000.0,4.0,3.5,SW - San Clemente Southwest,2788.0,5000.0,2017.0,4.0,1255.0,,Active,,,http://www.redfin.com/CA/San-Clemente/145-Avenida-Cadiz-92672/home/5006896,CRMLS,OC21236642,N,Y,33.421096,-117.6121514
2,MLS Listing,,Condo/Co-op,23356 Caminito Marcial #184,Laguna Hills,CA,92653.0,649000.0,3.0,2.0,S2 - Laguna Hills,1320.0,,1976.0,5.0,492.0,420.0,Active,,,http://www.redfin.com/CA/Laguna-Hills/23356-Caminito-Marcial-92653/unit-184/home/5435958,CRMLS,OC21232469,N,Y,33.6230797,-117.7384088
3,MLS Listing,,Condo/Co-op,7741 E Viewrim Dr,Anaheim Hills,CA,92808.0,635000.0,2.0,2.0,699 - Not Defined,1357.0,,1996.0,5.0,468.0,320.0,Active,,,http://www.redfin.com/CA/Anaheim/7741-E-Viewrim-Dr-92808/home/5237425,CRMLS,OC21236824,N,Y,33.853034,-117.7441676
4,MLS Listing,,Townhouse,2100 W Palmyra Ave #49,Orange,CA,92868.0,579000.0,3.0,1.5,"72 - Orange & Garden Grove, E of Harbor, N of 22 F",1343.0,932.0,1973.0,5.0,431.0,320.0,Active,,,http://www.redfin.com/CA/Orange/2100-W-Palmyra-Ave-92868/unit-49/home/4414703,CRMLS,OC21236060,N,Y,33.7833461,-117.8751205
5,MLS Listing,,Condo/Co-op,12 Snapdragon #22,Irvine,CA,92604.0,795000.0,3.0,2.5,EC - El Camino Real,1645.0,,1975.0,6.0,483.0,455.0,Active,,,http://www.redfin.com/CA/Irvine/12-Snapdragon-92604/unit-22/home/5444155,CRMLS,OC21232745,N,Y,33.6923641,-117.7867881
6,MLS Listing,,Condo/Co-op,77 Cactus Flower,Irvine,CA,92620.0,1170000.0,3.0,2.5,CV - Cypress Village,1948.0,,2013.0,6.0,601.0,135.0,Active,,,http://www.redfin.com/CA/Irvine/77-Cactus-Flower-92620/home/58556694,CRMLS,OC21234869,N,Y,33.69073,-117.7568764
7,MLS Listing,,Condo/Co-op,23436 Caminito Juanico #274,Laguna Hills,CA,92653.0,550000.0,3.0,2.0,S2 - Laguna Hills,1225.0,,1976.0,11.0,449.0,420.0,Active,,,http://www.redfin.com/CA/Laguna-Hills/23436-Caminito-Juanico-92653/unit-274/home/5436346,CRMLS,OC21231662,N,Y,33.6219954,-117.7359788
8,MLS Listing,,Single Family Residential,9328 Christopher St,Cypress,CA,90630.0,1019000.0,5.0,3.0,80 - Cypress North of Katella,1803.0,6300.0,1964.0,11.0,565.0,,Active,,,http://www.redfin.com/CA/Cypress/9328-Christopher-St-90630/home/3980000,CRMLS,OC21232152,N,Y,33.8268527,-118.0468992
9,MLS Listing,,Single Family Residential,2761 Vista Umbrosa,Newport Beach,CA,92660.0,1399900.0,3.0,2.5,NV - East Bluff - Harbor View,1845.0,3230.0,1972.0,12.0,759.0,350.0,Active,,,http://www.redfin.com/CA/Newport-Beach/2761-Vista-Umbrosa-92660/home/4644847,CRMLS,OC21231255,N,Y,33.6433339,-117.8737928
