,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Single Family Residential,1443 Glen Avon Dr,San Marcos,CA,92069.0,760000.0,3.0,2.0,San Marcos,1446.0,7400.0,1977.0,1.0,526.0,67.0,Pre On-Market,,,http://www.redfin.com/CA/San-Marcos/1443-Glen-Avon-Dr-92069/home/3916525,SDMLS,210030320,N,Y,33.1415244,-117.1287502
1,MLS Listing,,Single Family Residential,1605 Onyx Ave,El Cajon,CA,92019.0,669888.0,4.0,2.0,El Cajon,1246.0,,1957.0,1.0,538.0,,Pre On-Market,,,http://www.redfin.com/CA/El-Cajon/1605-Onyx-Ave-92019/home/5692200,SDMLS,210030275,N,Y,32.8014222,-116.9223418
2,MLS Listing,,Single Family Residential,2530 Lynn Way,Vista,CA,92081.0,999900.0,4.0,3.0,Vista,2345.0,21780.0,1996.0,4.0,426.0,,Active,November-3-2021 08:00 AM,November-3-2021 08:00 PM,http://www.redfin.com/CA/Vista/2530-Lynn-Way-92081/home/3809612,SDMLS,210030128,N,Y,33.1591246,-117.2135255
3,MLS Listing,,Single Family Residential,1428 Peerless,El Cajon,CA,92021.0,699000.0,3.0,2.5,El Cajon,1845.0,,1964.0,4.0,379.0,,Active,,,http://www.redfin.com/CA/El-Cajon/1428-Peerless-Dr-92021/home/5097938,SDMLS,210030126,N,Y,32.816052,-116.9311815
4,MLS Listing,,Single Family Residential,1449 Chert Dr,San Marcos,CA,92078.0,849990.0,3.0,2.5,San Marcos,1459.0,29907.0,2013.0,4.0,583.0,160.0,Pre On-Market,,,http://www.redfin.com/CA/San-Marcos/1449-Chert-Dr-92078/home/58185841,SDMLS,210030111,N,Y,33.1026019,-117.1835237
5,MLS Listing,,Single Family Residential,14739 Via Bettona,San Diego,CA,92127.0,1830000.0,4.0,4.5,Santaluz,3610.0,8923.0,2003.0,4.0,507.0,200.0,Active,,,http://www.redfin.com/CA/San-Diego/14739-Via-Bettona-92127/home/6542398,SDMLS,210030041,N,Y,32.9924032,-117.1591493
6,MLS Listing,,Condo/Co-op,1591 San Miguelito,San Diego,CA,92154.0,580000.0,3.0,2.5,San Diego,1485.0,,2019.0,4.0,391.0,280.0,Active,,,http://www.redfin.com/CA/San-Diego/1591-San-Miguelito-92154/home/167669236,SDMLS,210029948,N,Y,32.564833,-117.013755
7,MLS Listing,,Single Family Residential,1579 Fulton Rd,San Marcos,CA,92069.0,799900.0,4.0,2.0,San Marcos,1479.0,7500.0,1974.0,5.0,541.0,,Active,November-7-2021 01:00 PM,November-7-2021 04:00 PM,http://www.redfin.com/CA/San-Marcos/1579-Fulton-Rd-92069/home/3914075,SDMLS,210029987,N,Y,33.1517135,-117.1228445
8,MLS Listing,,Single Family Residential,8817 Jade Coast Dr,San Diego,CA,92126.0,899900.0,4.0,2.0,Mira Mesa,1550.0,5000.0,1974.0,5.0,581.0,,Active,,,http://www.redfin.com/CA/San-Diego/8817-Jade-Coast-Dr-92126/home/4853730,SDMLS,210029953,N,Y,32.9021008,-117.1346328
9,MLS Listing,,Single Family Residential,2346 Monarch Ridge Cir,El Cajon,CA,92019.0,975000.0,4.0,2.5,El Cajon,2298.0,,1993.0,5.0,424.0,320.0,Active,,,http://www.redfin.com/CA/El-Cajon/2346-Monarch-Ridge-Cir-92019/home/5714882,SDMLS,210029925,N,Y,32.7688227,-116.9079192
10,MLS Listing,,Condo/Co-op,550 15Th St #409,San Diego,CA,92101.0,399000.0,0.0,1.0,Downtown,725.0,,2006.0,11.0,550.0,367.0,Active,,,http://www.redfin.com/CA/San-Diego/550-15th-St-92101/unit-409/home/22794574,SDMLS,210029571,N,Y,32.7113355,-117.1506941
11,MLS Listing,,Townhouse,1718 Tecalote Dr #12,Fallbrook,CA,92028.0,599900.0,3.0,2.5,Fallbrook,1848.0,228437.0,1990.0,19.0,325.0,400.0,Active,November-6-2021 12:00 PM,November-6-2021 03:00 PM,http://www.redfin.com/CA/Fallbrook/1718-Tecalote-Dr-92028/unit-12/home/3090158,SDMLS,210028830,N,Y,33.3647065,-117.1702463
12,MLS Listing,,Single Family Residential,11601 Via Isabel,El Cajon,CA,92019.0,885000.0,4.0,3.0,El Cajon,1947.0,,1986.0,28.0,455.0,,Active,,,http://www.redfin.com/CA/El-Cajon/11601-Via-Isabel-92019/home/5656480,SDMLS,210028066,N,Y,32.7491397,-116.9387184
13,MLS Listing,,Single Family Residential,3022 Voltaire,San Diego,CA,92106.0,1399000.0,4.0,3.0,Point Loma,1619.0,,1929.0,39.0,864.0,,Active,,,http://www.redfin.com/CA/San-Diego/3022-Voltaire-St-92106/home/5356222,SDMLS,210027178,N,Y,32.7350402,-117.2210594
14,MLS Listing,,Single Family Residential,1485 Genoa Dr,Vista,CA,92081.0,939900.0,3.0,2.5,Vista,2230.0,6722.0,1988.0,39.0,421.0,115.0,Active,,,http://www.redfin.com/CA/Vista/1485-Genoa-Dr-92081/home/6287524,SDMLS,210027133,N,Y,33.1706472,-117.2392957
15,MLS Listing,,Condo/Co-op,527 10Th Ave #704,San Diego,CA,92101.0,925000.0,2.0,2.0,Downtown,1423.0,,2005.0,49.0,650.0,534.0,Active,,,http://www.redfin.com/CA/San-Diego/527-Tenth-Ave-92101/unit-704/home/6677254,SDMLS,210026110,N,Y,32.7111835,-117.1554361
16,MLS Listing,,Condo/Co-op,10781 Riderwood Ter Unit C,Santee,CA,92071.0,474900.0,2.0,2.5,Santee,1017.0,,1986.0,59.0,467.0,380.0,Active,,,http://www.redfin.com/CA/Santee/10781-Riderwood-Ter-92071/unit-C/home/5050388,SDMLS,210025358,N,Y,32.8397201,-116.9634649
17,MLS Listing,,Single Family Residential,15000 Oakvale Rd,Escondido,CA,92027.0,449999.0,1.0,1.5,East Escondido,756.0,,1945.0,68.0,595.0,,Active,,,http://www.redfin.com/CA/Escondido/15000-Oakvale-Rd-92027/home/4043236,SDMLS,210024384,N,Y,33.1673221,-116.9953367
18,MLS Listing,,Single Family Residential,4491 Olive Ave,La Mesa,CA,91942.0,739900.0,3.0,2.0,La Mesa,1203.0,5600.0,1949.0,75.0,615.0,,Active,,,http://www.redfin.com/CA/La-Mesa/4491-Olive-Ave-91942/home/5486847,SDMLS,210023638,N,Y,32.759928,-117.0357641
19,MLS Listing,,Single Family Residential,2713 Overlook Point Dr,Escondido,CA,92029.0,998900.0,4.0,3.0,92029 - Escondido,2136.0,4791.0,2017.0,1.0,468.0,230.0,Active,,,http://www.redfin.com/CA/Escondido/2713-Overlook-Point-Dr-92029/home/58185290,CRMLS,NDP2112333,N,Y,33.103051,-117.128851
20,MLS Listing,,Single Family Residential,26752 Saint Andrews Ln,Valley Center,CA,92082.0,1100000.0,5.0,4.5,92082 - Valley Center,4626.0,26571.0,2006.0,1.0,238.0,127.0,Pre On-Market,,,http://www.redfin.com/CA/Valley-Center/26752-St-Andrews-Ln-92082/home/7476749,CRMLS,NDP2112334,N,Y,33.2058553,-117.0065344
21,MLS Listing,,Condo/Co-op,1121 Eureka St #7,San Diego,CA,92110.0,550000.0,3.0,2.5,Mission Valley,1192.0,,1982.0,1.0,461.0,290.0,Active,November-6-2021 12:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/San-Diego/1121-Eureka-St-92110/unit-7/home/5239150,SDMLS,210030373,N,Y,32.7669467,-117.1882574
22,MLS Listing,,Vacant Land,195 Stallion,Oceanside,CA,92057.0,275000.0,0.0,,Oceanside,,65340.0,,1.0,,,Active,,,http://www.redfin.com/CA/Oceanside/195-Stallion-Dr-92057/home/22655910,SDMLS,210030372,N,Y,33.2577588,-117.2891229
