,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Multi-Family (2-4 Unit),518A Evergreen Ave,Brooklyn,NY,11221.0,1995000.0,5.0,5.0,Brooklyn,1412.0,1590.0,1910.0,29.0,1413.0,,Active,,,http://www.redfin.com/NY/Brooklyn/518A-Evergreen-Ave-11221/unit-A/home/92329777,BNYMLS,456071,N,Y,40.6914421,-73.9182889
1,MLS Listing,,Condo/Co-op,158 Grand St Unit 3L,Brooklyn,NY,11249.0,799000.0,1.0,1.0,Williamsburg,,2500.0,1910.0,53.0,,855.0,Active,,,http://www.redfin.com/NY/Brooklyn/158-Grand-St-11249/unit-3L/home/40672310,REBNY,PRCH-3586777,N,Y,40.7145116,-73.9618588
2,MLS Listing,,Condo/Co-op,345 Union Ave Unit 4A,Brooklyn,NY,11211.0,1175000.0,2.0,2.0,Williamsburg,970.0,2600.0,2005.0,131.0,1211.0,605.0,Active,,,http://www.redfin.com/NY/Brooklyn/345-Union-Ave-11211/unit-4A/home/40645028,REBNY,PRCH-3470740,N,Y,40.7105839,-73.9512966
3,MLS Listing,,Condo/Co-op,2930 W 5th St Unit 17M,Brooklyn,NY,11224.0,285000.0,1.0,1.0,Brooklyn,800.0,,,1.0,356.0,,Active,,,http://www.redfin.com/NY/Brooklyn/2930-W-5th-St-11224/unit-17M/home/40665369,BNYMLS,456877,N,Y,40.5782062,-73.973315
4,MLS Listing,,Condo/Co-op,475 Washington Ave Unit 2-I,Brooklyn,NY,11238.0,1295000.0,2.0,2.0,Clinton Hill,1129.0,14937.0,1907.0,1.0,1147.0,517.0,Active,November-5-2021 01:00 PM,November-5-2021 02:45 PM,http://www.redfin.com/NY/Brooklyn/475-Washington-Ave-11238/unit-2-I/home/177047100,REBNY,OLRS-1961065,N,Y,40.6842561,-73.9645962
5,MLS Listing,,Multi-Family (2-4 Unit),1040 59th St,Brooklyn,NY,11219.0,1550000.0,5.0,2.5,Brooklyn,2550.0,2003.0,,1.0,608.0,,Active,,,http://www.redfin.com/NY/Brooklyn/1040-59th-St-11219/home/40807652,BNYMLS,456914,N,Y,40.6326317,-74.0036972
6,MLS Listing,,Condo/Co-op,360 Court St #19,Brooklyn,NY,11231.0,995000.0,1.0,1.0,Carroll Gardens,975.0,11500.0,1857.0,1.0,1021.0,747.0,Active,,,http://www.redfin.com/NY/Brooklyn/360-Court-St-11231/unit-19/home/40685749,REBNY,OLRS-1646778,N,Y,40.6820474,-73.996455
7,MLS Listing,,Multi-Family (2-4 Unit),1683 Mcdonald Ave,Brooklyn,NY,11230.0,1899000.0,,,Brooklyn,6680.0,4480.0,1931.0,1.0,284.0,,Active,,,http://www.redfin.com/NY/Brooklyn/1683-McDonald-Ave-11230/home/177046523,BNYMLS,456861,N,Y,40.6119476,-73.9731543
8,MLS Listing,,Condo/Co-op,279 1st St Unit 4A,Brooklyn,NY,11215.0,650000.0,1.0,1.0,Park Slope,,3228.0,1921.0,1.0,,795.0,Active,November-7-2021 01:30 PM,November-7-2021 03:30 PM,http://www.redfin.com/NY/Brooklyn/279-1st-St-11215/unit-4A/home/40648227,REBNY,PRCH-3704518,N,Y,40.6747004,-73.9832095
9,MLS Listing,,Condo/Co-op,58 Butler St #2,Brooklyn,NY,11231.0,2350000.0,3.0,2.0,Cobble Hill,1406.0,2075.0,1901.0,1.0,1671.0,357.0,Active,,,http://www.redfin.com/NY/Brooklyn/58-Butler-St-11231/unit-2/home/177045814,REBNY,RPLU-691621424999,N,Y,40.684076,-73.9925839
