,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
0,MLS Listing,,Condo/Co-op,5501 De Marcus Blvd #241,Dublin,CA,94568,775000.0,2.0,2.0,Dublin,1399.0,,2007.0,1.0,554.0,544.0,Active,November-7-2021 02:00 PM,November-7-2021 04:00 PM,http://www.redfin.com/CA/Dublin/5501-DeMarcus-Blvd-94568/unit-241/home/12118101,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40972799,N,Y,37.705241,-121.8987885
1,MLS Listing,,Single Family Residential,952 Corbel Cmn,FREMONT,CA,94539,1749800.0,4.0,2.5,FREMONT,2213.0,7275.0,1988.0,1.0,791.0,,Active,November-6-2021 01:00 PM,November-6-2021 03:00 PM,http://www.redfin.com/CA/Fremont/952-Corbel-Cmn-94539/home/1087843,MLSListings,ML81868881,N,Y,37.4824827,-121.9151765
2,MLS Listing,,Single Family Residential,4408 Adeline St,Emeryville,CA,94608,749000.0,2.0,1.5,Emeryville,1070.0,1525.0,1905.0,3.0,700.0,,Active,November-6-2021 02:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Emeryville/4408-Adeline-St-94608/home/1278643,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40972781,N,Y,37.8347819,-122.2766648
3,MLS Listing,,Single Family Residential,4392 Terrabella Pl,Oakland,CA,94619,999000.0,3.0,2.5,Crestmont,1604.0,2389.0,1992.0,5.0,623.0,106.0,Active,,,http://www.redfin.com/CA/Oakland/4392-Terrabella-Pl-94619/home/1618638,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40972548,N,Y,37.7959533,-122.1784853
4,MLS Listing,,Condo/Co-op,222 Broadway #812,Oakland,CA,94607,599000.0,1.0,1.0,Jack London Sq,694.0,35016.0,2009.0,8.0,863.0,884.0,Active,,,http://www.redfin.com/CA/Oakland/222-Broadway-94607/unit-812/home/28696641,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40972213,N,Y,37.7963774,-122.275775
5,MLS Listing,,Townhouse,4150 Asimuth Cir,Union City,CA,94587,749000.0,3.0,1.5,Contempo Townhom,1214.0,1470.0,1974.0,11.0,617.0,333.0,Active,,,http://www.redfin.com/CA/Union-City/4150-Asimuth-Cir-94587/home/1720516,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40971981,N,Y,37.5851871,-122.0651155
6,MLS Listing,,Townhouse,22081 Valencia Pl #1,Hayward,CA,94541,650000.0,3.0,2.5,Vista Del Plaza,1482.0,187567.0,1982.0,12.0,439.0,425.0,Active,,,http://www.redfin.com/CA/Hayward/22081-Valencia-Pl-94541/unit-1/home/1285161,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40969580,N,Y,37.6806643,-122.0845242
7,MLS Listing,,Single Family Residential,882 Alma Pl,Oakland,CA,94610,1649000.0,4.0,2.5,Crocker Hghlands,2722.0,8635.0,1931.0,14.0,606.0,17.0,Active,,,http://www.redfin.com/CA/Oakland/882-Alma-Pl-94610/home/880361,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40971493,N,Y,37.8061898,-122.233437
8,MLS Listing,,Condo/Co-op,38735 Aurora Ter #18,FREMONT,CA,94536,638800.0,2.0,1.5,FREMONT,1123.0,29413.0,1980.0,15.0,569.0,522.0,Active,,,http://www.redfin.com/CA/Fremont/38735-Aurora-Ter-94536/unit-18/home/1868006,MLSListings,ML81867240,N,Y,37.568617,-121.965346
9,MLS Listing,,Condo/Co-op,6465 San Pablo Ave #505,Oakland,CA,94608,799000.0,2.0,2.0,Nobe,1046.0,13385.0,2008.0,19.0,764.0,646.0,Active,,,http://www.redfin.com/CA/Oakland/6465-San-Pablo-Ave-94608/unit-5-5/home/22962006,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40970025,N,Y,37.8477541,-122.2855475
10,MLS Listing,,Condo/Co-op,1403 Prescott St,Oakland,CA,94607,719000.0,2.0,2.5,Prescott,1240.0,268295.0,2016.0,19.0,580.0,173.0,Active,,,http://www.redfin.com/CA/Oakland/1403-Prescott-St-94607/home/112885426,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40970982,N,Y,37.8141262,-122.2986939
11,MLS Listing,,Single Family Residential,6700 Mill Creek Rd,FREMONT,CA,94539,3888888.0,5.0,3.0,FREMONT,4082.0,314503.0,1984.0,25.0,953.0,,Active,,,http://www.redfin.com/CA/Fremont/6700-Mill-Creek-Rd-94539/home/1952333,MLSListings,ML81866142,N,Y,37.5254592,-121.8919367
12,MLS Listing,,Single Family Residential,2047 22Nd Ave,Oakland,CA,94606,850000.0,3.0,2.0,San Antonio,1872.0,3000.0,1910.0,26.0,454.0,,Active,,,http://www.redfin.com/CA/Oakland/2047-22nd-Ave-94606/home/1904193,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40968585,N,Y,37.789519,-122.2335478
13,MLS Listing,,Condo/Co-op,4635 Rothbury Cmn #66,Fremont,CA,94536,699888.0,2.0,2.0,Fremont,1140.0,14947.0,1988.0,27.0,614.0,377.0,Active,,,http://www.redfin.com/CA/Fremont/4635-Rothbury-Cmn-94536/unit-66/home/1335037,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40969941,N,Y,37.5522007,-122.0163013
14,MLS Listing,,Single Family Residential,1301 E Juana Ave,San Leandro,CA,94577,1249000.0,3.0,2.5,Bay O Vista,2858.0,7070.0,1951.0,41.0,437.0,,Active,,,http://www.redfin.com/CA/San-Leandro/1301-E-Juana-Ave-94577/home/840631,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40968120,N,Y,37.7296018,-122.1365044
15,MLS Listing,,Single Family Residential,7400 Woodrow Dr,Oakland,CA,94611,1649000.0,4.0,3.0,Montclair,3322.0,6973.0,2000.0,47.0,496.0,,Active,,,http://www.redfin.com/CA/Oakland/7400-Woodrow-Dr-94611/home/1937498,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40967459,N,Y,37.83373,-122.1929408
16,MLS Listing,,Single Family Residential,4030 Penniman Ave,Oakland,CA,94619,699000.0,2.0,1.0,Allendale,890.0,2700.0,1925.0,53.0,785.0,,Active,,,http://www.redfin.com/CA/Oakland/4030-Penniman-Ave-94619/home/550570,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40966693,N,Y,37.785916,-122.2021186
17,MLS Listing,,Single Family Residential,2207 42Nd Ave,Oakland,CA,94601,900000.0,5.0,2.0,Jefferson,1906.0,4588.0,1912.0,61.0,472.0,,Active,,,http://www.redfin.com/CA/Oakland/2207-42nd-Ave-94601/home/835367,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40965663,N,Y,37.779319,-122.208953
18,MLS Listing,,Single Family Residential,2111 High St,Oakland,CA,94601,750000.0,3.0,1.0,Jefferson,1029.0,5120.0,1924.0,68.0,729.0,,Active,,,http://www.redfin.com/CA/Oakland/2111-High-St-94601/home/551795,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40964750,N,Y,37.7772701,-122.2095667
19,MLS Listing,,Multi-Family (2-4 Unit),5926 Genoa St,Oakland,CA,94608,1199000.0,6.0,3.0,Oakland,2225.0,3840.0,1965.0,87.0,539.0,,Active,,,http://www.redfin.com/CA/Oakland/5926-Genoa-St-94608/unit-C/home/1832646,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40962323,N,Y,37.8445713,-122.2724115
20,Redfin Data,,Single Family Residential,35719 Scarborough Dr,Newark,CA,94560,1249800.0,3.0,3.0,Newark,1672.0,4440.0,1971.0,1.0,747.0,,Pre On-Market,,,http://www.redfin.com/CA/Newark/35719-Scarborough-Dr-94560/home/1874115,Coming Soon,77626,N,Y,37.5545442,-122.0348888
21,Redfin Data,,Single Family Residential,6486 Lotus Ct,Newark,CA,94560,1299888.0,3.0,2.0,Newark,1522.0,10850.0,1963.0,5.0,854.0,,Pre On-Market,,,http://www.redfin.com/CA/Newark/6486-Lotus-Ct-94560/home/1918244,Coming Soon,78207,N,Y,37.5228739,-122.0136616
22,MLS Listing,,Single Family Residential,4785 Mildred Dr,Fremont,CA,94536,1188000.0,3.0,2.0,Glen Manor,1344.0,6425.0,1960.0,1.0,884.0,,Active,,,http://www.redfin.com/CA/Fremont/4785-Mildred-Dr-94536/home/1335139,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973057,N,Y,37.5406092,-122.0002037
23,MLS Listing,,Condo/Co-op,2623 Copa Del Oro Dr,Union City,CA,94587,529800.0,2.0,2.0,Villa De Oro,908.0,33401.0,1986.0,1.0,583.0,443.0,Active,November-6-2021 01:00 PM,November-6-2021 03:00 PM,http://www.redfin.com/CA/Union-City/2623-Copa-Del-Oro-Dr-94587/home/1024552,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973055,N,Y,37.589632,-122.037805
24,MLS Listing,,Single Family Residential,1242 53rd Ave,Oakland,CA,94601,510000.0,2.0,1.0,East Oakland,675.0,2475.0,1912.0,1.0,756.0,,Active,,,http://www.redfin.com/CA/Oakland/1242-53rd-Ave-94601/home/2017472,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973049,N,Y,37.76665,-122.20735
25,MLS Listing,,Townhouse,247 N N St,LIVERMORE,CA,94551,955095.0,4.0,3.5,LIVERMORE,1929.0,1219.0,2021.0,1.0,495.0,322.0,Active,,,http://www.redfin.com/CA/Livermore/247-North-N-St-94551/home/177047033,MLSListings,ML81868953,N,Y,37.6834577,-121.7754967
26,MLS Listing,,Single Family Residential,2829 Forest Ave,Berkeley,CA,94705,4795000.0,7.0,6.0,Elmwood,6283.0,13775.0,1906.0,1.0,763.0,,Active,November-7-2021 01:00 PM,November-7-2021 04:00 PM,http://www.redfin.com/CA/Berkeley/2829-Forest-Ave-94705/home/633088,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40972791,N,Y,37.8618332,-122.2497464
27,MLS Listing,,Condo/Co-op,803 Zephyr Dr,Oakland,CA,94607,649000.0,2.0,2.5,West Oakland,1005.0,,2007.0,1.0,646.0,250.0,Active,November-6-2021 02:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Oakland/803-Zephyr-Dr-94607/home/17183874,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40972946,N,Y,37.8131569,-122.298692
28,MLS Listing,,Single Family Residential,9863 Elmar Ave,Oakland,CA,94603,689000.0,3.0,2.0,Oakland,1500.0,5000.0,1940.0,1.0,459.0,,Active,November-6-2021 02:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Oakland/9863-Elmar-Ave-94603/home/1872229,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973045,N,Y,37.7476133,-122.1589273
29,MLS Listing,,Townhouse,7754 CREEKSIDE Dr,Pleasanton,CA,94588-3687,1200000.0,3.0,2.5,Gold Creek,1614.0,1932.0,1991.0,1.0,743.0,415.0,Active,,,http://www.redfin.com/CA/Pleasanton/7754-Creekside-Dr-94588/home/1407323,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40972428,N,Y,37.6892939,-121.926062
30,MLS Listing,,Condo/Co-op,209 Fanuncio Ln,Hayward,CA,94544,848000.0,3.0,2.5,Hayward,1817.0,,2017.0,1.0,467.0,341.0,Active,November-6-2021 01:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Hayward/209-Fanuncio-Ln-94544/home/167259897,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973031,N,Y,37.651534,-122.070106
31,MLS Listing,,Single Family Residential,3650 Green Acre Rd,Oakland,CA,94619,799000.0,3.0,2.0,Laurel,1456.0,4590.0,1922.0,1.0,549.0,,Active,,,http://www.redfin.com/CA/Oakland/3650-Green-Acre-Rd-94619/home/1999503,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973027,N,Y,37.7859141,-122.1916106
32,MLS Listing,,Single Family Residential,612 Waterview Isle,Alameda,CA,94501,888000.0,3.0,2.0,Alameda,1728.0,5300.0,1960.0,1.0,514.0,69.0,Active,November-6-2021 02:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Alameda/612-Waterview-Isle-94501/home/1858500,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973022,N,Y,37.7629891,-122.2590302
33,MLS Listing,,Condo/Co-op,2134 Grant St #2,Berkeley,CA,94703,610000.0,1.0,1.0,Central Berkeley,798.0,9686.0,1925.0,1.0,764.0,274.0,Active,,,http://www.redfin.com/CA/Berkeley/2134-Grant-St-94703/unit-2/home/1770131,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973020,N,Y,37.8689624,-122.2752914
34,MLS Listing,,Single Family Residential,4495 Mountain View Ave,Oakland,CA,94605,969000.0,3.0,3.0,Leona Heights,1943.0,5184.0,1959.0,1.0,499.0,,Active,November-7-2021 02:00 PM,November-7-2021 04:30 PM,http://www.redfin.com/CA/Oakland/4495-Mountain-View-Ave-94605/home/561193,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973019,N,Y,37.7844742,-122.1748045
35,MLS Listing,,Single Family Residential,40250 San Sebastian Pl,FREMONT,CA,94539,1800000.0,4.0,3.0,FREMONT,1914.0,6100.0,1968.0,1.0,940.0,,Active,November-6-2021 01:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Fremont/40250-San-Sebastian-Pl-94539/home/1099672,MLSListings,ML81868936,N,Y,37.5549304,-121.9517327
36,MLS Listing,,Townhouse,2612 Great Arbor Way #64,Union City,CA,94587,765000.0,2.0,2.5,The Arbors,1362.0,124006.0,1985.0,1.0,562.0,430.0,Active,November-6-2021 01:00 PM,November-6-2021 04:00 PM,http://www.redfin.com/CA/Union-City/2612-Great-Arbor-Way-94587/unit-64/home/1030327,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973012,N,Y,37.5943411,-122.0489186
